Class ID,Class Type,Class Title,Campus,Credits,Days,Time,Date,Instructor
ART180193,LEC,Digital Photography for Non-Majors,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Cox,Jonathan Andrew"
ART180194,LEC,Digital Photography for Non-Majors,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Cox,Jonathan Andrew"
ART180195,LEC,Digital Photography for Non-Majors,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Cox,Jonathan Andrew"
ART408002,IND,Internship,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Deering,William"
ART408900,IND,Internship,NEWRK,3 Hrs,ASYN,Second Summer Session 7/12-8/12,Jul 12 - Aug 12,"Deering,William"
ARTC464000,IND,Preservation Internship: CONSERVATION INTERNSHIP,NEWRK,1-6 Hrs,TBD,First Summer Session 6/7-7/9,Jun 7 - Jul 9,Staff
ARTC464000,IND,Preservation Internship: CONSERVATION INTERNSHIP,NEWRK,1-6 Hrs,TBD,First Summer Session 6/7-7/9,Jun 7 - Jul 9,Staff
ARTH101910,LEC,Visual Culture,NEWRK,3 Hrs,ASYN,Second Summer Session 7/12-8/12,Jul 12 - Aug 12,"Cross,Anne S"
ARTH151710,LEC,"Myth, Religion and Art",WILM,3 Hrs,MTWRF,1:15PM - 2:45PM ,Jun 7 - Jul 9,"Hintlian,Jennifer Beth"
ARTH166000,IND,Special Problem,NEWRK,1-3 Hrs,TBD,First Summer Session 6/7-7/9,Jun 7 - Jul 9,Staff
ARTH166900,IND,Special Problem,NEWRK,1-3 Hrs,TBD,Second Summer Session 7/12-8/12,Jul 12 - Aug 12,Staff
ARTH201010,LEC,Introduction to Museums,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Van Horn,Jennifer C"
ARTH225910,LEC,Eighteenth Century Art,NEWRK,3 Hrs,ASYN,Second Summer Session 7/12-8/12,Jul 12 - Aug 12,"Giguere,Natalie Ellen"
ARTH264000,INT,Art History Sophomore Internship,NEWRK,3 Hrs,TBD,First Summer Session 6/7-7/9,Jun 7 - Jul 9,Staff
ARTH264900,INT,Art History Sophomore Internship,NEWRK,3 Hrs,TBD,Second Summer Session 7/12-8/12,Jul 12 - Aug 12,Staff
ARTH266000,IND,SPECIAL PROBLEM,NEWRK,1-3 Hrs,TBD,First Summer Session 6/7-7/9,Jun 7 - Jul 9,Staff
ARTH266900,IND,SPECIAL PROBLEM,NEWRK,1-3 Hrs,TBD,Second Summer Session 7/12-8/12,Jul 12 - Aug 12,Staff
ARTH366000,IND,Independent Study,NEWRK,1-3 Hrs,TBD,First Summer Session 6/7-7/9,Jun 7 - Jul 9,Staff
ARTH366900,IND,Independent Study,NEWRK,1-3 Hrs,TBD,Second Summer Session 7/12-8/12,Jul 12 - Aug 12,Staff
ARTH464000,IND,Internship in Art History,NEWRK,3 Hrs,TBD,First Summer Session 6/7-7/9,Jun 7 - Jul 9,Staff
ARTH464900,IND,Internship in Art History,NEWRK,3 Hrs,TBD,Second Summer Session 7/12-8/12,Jul 12 - Aug 12,Staff
ARTH466000,IND,Independent Study,NEWRK,1-3 Hrs,TBD,First Summer Session 6/7-7/9,Jun 7 - Jul 9,Staff
ARTH466900,IND,Independent Study,NEWRK,1-3 Hrs,TBD,Second Summer Session 7/12-8/12,Jul 12 - Aug 12,Staff
ARTH663000,INT,Art Museum Internship,NEWRK,3 Hrs,TBD,First Summer Session 6/7-7/9,Jun 7 - Jul 9,Staff
ARTH663900,INT,Art Museum Internship,NEWRK,3 Hrs,TBD,Second Summer Session 7/12-8/12,Jul 12 - Aug 12,Staff
ARTH666000,IND,SPECIAL PROBLEM,NEWRK,1-3 Hrs,TBD,First Summer Session 6/7-7/9,Jun 7 - Jul 9,Staff
ARTH666900,IND,SPECIAL PROBLEM,NEWRK,1-3 Hrs,TBD,Second Summer Session 7/12-8/12,Jul 12 - Aug 12,Staff
ARTH868800,IND,RESEARCH,NEWRK,3 Hrs,TBD,First Summer Session 6/7-7/9,Jun 7 - Jul 9,Staff
BHAN130011,LEC,Health Topics: PERSONAL MANAGEMENT,NEWRK,1 Hrs,MW,9:45AM - 11:15AM ,Jun 7 - Jul 9,"Groth,John Warren"
BHAN130012,LEC,Health Topics: PERSONAL RELATIONSHIPS,NEWRK,1 Hrs,MW,11:30AM - 1:00PM ,Jun 7 - Jul 9,"Groth,John Warren"
BHAN130013,LEC,Health Topics: HEALTH HABITS IN VIRTUAL WORLD,NEWRK,1 Hrs,TR,11:30AM - 12:45PM ,Jul 12 - Aug 12,"Ruggiero,Laurie"
BHAN155910,LEC,Personal Health Management: An Approach for a Lifetime,NEWRK,3 Hrs,ASYN,Second Summer Session 7/12-8/12,Jul 12 - Aug 12,"Lodyga,Marc Gregory"
BHAN263920L,LAB,Health Behavior Science Practicum,NEWRK,1-3 Hrs,TBD,Second Summer Session 7/12-8/12,Jul 12 - Aug 12,"Lodyga,Marc Gregory"
BHAN342154,LEC,Introduction to Adapted Physical Activity,NEWRK,3 Hrs,ASYN,Second Summer Session 7/12-8/12,Jul 12 - Aug 12,"Obrusnikova,Iva"
BHAN342155,LEC,Introduction to Adapted Physical Activity,NEWRK,3 Hrs,ASYN,Second Summer Session 7/12-8/12,Jul 12 - Aug 12,"Obrusnikova,Iva"
BHAN403910L,LAB,Practicum in Adapted Physical Activity,NEWRK,1-6 Hrs,TBD,12:00AM - 12:00AM ,Jul 12 - Aug 12,"Obrusnikova,Iva"
BHAN460910L,LAB,Coaching Performance Practicum,NEWRK,3 Hrs,TBD,12:00AM - 12:00AM ,Jul 12 - Aug 12,"Hayman,John T"
BHAN464910,INT,Health Behavior Science Internship: HEALTH BEHAVIOR SCIENCE,NEWRK,9 Hrs,TBD,12:00AM - 12:00AM ,Jul 12 - Aug 12,"Peterson,P Michael"
BHAN466000,IND,Independent Study,NEWRK,1-6 Hrs,TBD,12:00AM - 12:00AM ,Jun 7 - Jul 9,Staff
BHAN466900,IND,Independent Study,NEWRK,1-6 Hrs,TBD,12:00AM - 12:00AM ,Jul 12 - Aug 12,Staff
BINF666000,IND,Special Problem,NEWRK,1-12 Hrs,TBD,12:00AM - 12:00AM ,Jun 7 - Jul 9,Staff
BINF666900,IND,Special Problem,NEWRK,1-12 Hrs,TBD,12:00AM - 12:00AM ,Jul 12 - Aug 12,"Wu,Cathy Huey-Hwa"
BINF864000,INT,Internship,NEWRK,1-6 Hrs,TBD,12:00AM - 12:00AM ,Jun 7 - Jul 9,Staff
BINF868800,RSC,Research,NEWRK,1-6 Hrs,TBD,12:00AM - 12:00AM ,Jun 7 - Jul 9,"Martin,Mary J"
BINF964000,IND,Pre-Candidacy Study,NEWRK,3-12 Hrs,TBD,12:00AM - 12:00AM ,Jun 7 - Jul 9,Staff
BINF964900,IND,Pre-Candidacy Study,NEWRK,3-12 Hrs,TBD,12:00AM - 12:00AM ,Jul 12 - Aug 12,"Wu,Cathy Huey-Hwa"
BINF969000,IND,Doctoral Dissertation,NEWRK,1-12 Hrs,TBD,12:00AM - 12:00AM ,Jun 7 - Jul 9,Staff
BISC103010,LEC,Principles of Biology:,NEWRK,3 Hrs,,Canceled,,
BISC103910,LEC,Principles of Biology,NEWRK,3 Hrs,ASYN,Second Summer Session 7/12-8/12,Jul 12 - Aug 12,"Fomin,Victor Petrovich"
BISC104194,LEC,Principles of Biology with Laboratory,NEWRK,4 Hrs,ASYN,First Summer Session 6/7-7/28,Jun 7 - Jul 28,"Wesolowski,Meredith Carol"
BISC104195,LEC,Principles of Biology with Laboratory,NEWRK,4 Hrs,ASYN,First Summer Session 6/7-7/28,Jun 7 - Jul 28,"Wesolowski,Meredith Carol"
BISC105194,LEC,Human Heredity and Development,NEWRK,3 Hrs,,Canceled,,
BISC105195,LEC,Human Heredity and Development,NEWRK,3 Hrs,,Canceled,,
BISC106710,LEC,Elementary Human Physiology,WILM,3 Hrs,MTWRF,9:45AM - 11:15AM ,Jun 7 - Jul 9,"Higgin,Dwight L"
BISC106910,LEC,Elementary Human Physiology,NEWRK,3 Hrs,,Canceled,,
BISC106910,LEC,Elementary Human Physiology,NEWRK,3 Hrs,,Canceled,,
BISC116710,LAB,Elementary Human Physiology Laboratory,WILM,1 Hrs,TR,11:30AM - 1:00PM ,Jun 7 - Jul 9,"Higgin,Dwight L"
