Class ID,Class Type,Class Title,Campus,Credits,Days,Time,Date,Instructor
HDFS222010,LEC,Inclusive Curriculum & Assessment: Birth - Grade 2,NEWRK,3 Hrs,MW,3:35PM - 4:50PM,Aug 31 - Dec 10,"Gallo-Fox,Jennifer"
HDFS224010D,DIS,Practicum in Inclusive Curriculum & Assessment: Birth - Grade 2,NEWRK,3 Hrs,M,5:00PM - 6:00PM,Aug 31 - Dec 10,"Pollock,Katrina Elizabeth"
HDFS224020L,LAB,Practicum in Inclusive Curriculum & Assessment: Birth - Grade 2,NEWRK,3 Hrs,M,8:00AM - 1:00PM,Aug 31 - Dec 10,"Torbert,Deborah G."
HDFS224021L,LAB,Practicum in Inclusive Curriculum & Assessment: Birth - Grade 2,NEWRK,3 Hrs,T,8:00AM - 1:00PM,Aug 31 - Dec 10,"Pollock,Katrina Elizabeth"
HDFS224022L,LAB,Practicum in Inclusive Curriculum & Assessment: Birth - Grade 2,NEWRK,3 Hrs,W,8:00AM - 1:00PM,Aug 31 - Dec 10,"Pollock,Katrina Elizabeth"
HDFS224023L,LAB,Practicum in Inclusive Curriculum & Assessment: Birth - Grade 2,NEWRK,3 Hrs,R,8:00AM - 1:00PM,Aug 31 - Dec 10,"Pollock,Katrina Elizabeth"
HDFS224024L,LAB,Practicum in Inclusive Curriculum & Assessment: Birth - Grade 2,NEWRK,3 Hrs,F,8:00AM - 1:00PM,Aug 31 - Dec 10,"Torbert,Deborah G."
HDFS224025L,LAB,Practicum in Inclusive Curriculum & Assessment: Birth - Grade 2,NEWRK,3 Hrs,M,8:00AM - 1:00PM,Aug 31 - Dec 10,"Morris,Laura Ann"
HDFS224026L,LAB,Practicum in Inclusive Curriculum & Assessment: Birth - Grade 2,NEWRK,3 Hrs,T,8:00AM - 1:00PM,Aug 31 - Dec 10,"Pollock,Katrina Elizabeth"
HDFS224027L,LAB,Practicum in Inclusive Curriculum & Assessment: Birth - Grade 2,NEWRK,3 Hrs,W,8:00AM - 1:00PM,Aug 31 - Dec 10,"Pollock,Katrina Elizabeth"
HDFS224028L,LAB,Practicum in Inclusive Curriculum & Assessment: Birth - Grade 2,NEWRK,3 Hrs,R,8:00AM - 1:00PM,Aug 31 - Dec 10,"Morris,Laura Ann"
HDFS224029L,LAB,Practicum in Inclusive Curriculum & Assessment: Birth - Grade 2,NEWRK,3 Hrs,F,8:00AM - 1:00PM,Aug 31 - Dec 10,"Morris,Laura Ann"
HDFS224030L,LAB,Practicum in Inclusive Curriculum & Assessment: Birth - Grade 2,NEWRK,3 Hrs,M,8:00AM - 1:00PM,Aug 31 - Dec 10,"Pollock,Katrina Elizabeth"
HDFS224031L,LAB,Practicum in Inclusive Curriculum & Assessment: Birth - Grade 2,NEWRK,3 Hrs,T,8:00AM - 1:00PM,Aug 31 - Dec 10,"Pollock,Katrina Elizabeth"
HDFS224032L,LAB,Practicum in Inclusive Curriculum & Assessment: Birth - Grade 2,NEWRK,3 Hrs,W,8:00AM - 1:00PM,Aug 31 - Dec 10,"Pollock,Katrina Elizabeth"
HDFS224033L,LAB,Practicum in Inclusive Curriculum & Assessment: Birth - Grade 2,NEWRK,3 Hrs,R,8:00AM - 1:00PM,Aug 31 - Dec 10,"Pollock,Katrina Elizabeth"
HDFS224034L,LAB,Practicum in Inclusive Curriculum & Assessment: Birth - Grade 2,NEWRK,3 Hrs,F,8:00AM - 1:00PM,Aug 31 - Dec 10,"Pollock,Katrina Elizabeth"
HDFS224035L,LAB,Practicum in Inclusive Curriculum & Assessment: Birth - Grade 2,NEWRK,3 Hrs,M,8:00AM - 1:00PM,Aug 31 - Dec 10,"Pollock,Katrina Elizabeth"
HDFS224036L,LAB,Practicum in Inclusive Curriculum & Assessment: Birth - Grade 2,NEWRK,3 Hrs,T,8:00AM - 1:00PM,Aug 31 - Dec 10,"Pollock,Katrina Elizabeth"
HDFS224037L,LAB,Practicum in Inclusive Curriculum & Assessment: Birth - Grade 2,NEWRK,3 Hrs,W,8:00AM - 1:00PM,Aug 31 - Dec 10,"Pollock,Katrina Elizabeth"
HDFS224038L,LAB,Practicum in Inclusive Curriculum & Assessment: Birth - Grade 2,NEWRK,3 Hrs,R,8:00AM - 1:00PM,Aug 31 - Dec 10,"Pollock,Katrina Elizabeth"
HDFS224039L,LAB,Practicum in Inclusive Curriculum & Assessment: Birth - Grade 2,NEWRK,3 Hrs,F,8:00AM - 1:00PM,Aug 31 - Dec 10,"Pollock,Katrina Elizabeth"
HDFS230010,LEC,Families and Their Communities,NEWRK,3 Hrs,MWF,1:25PM - 2:15PM,Aug 31 - Dec 10,"Fleury,Ruth E"
HDFS230011,LEC,Families and Their Communities,NEWRK,3 Hrs,TR,2:00PM - 3:15PM,Aug 31 - Dec 10,"Aviles,Ann M"
HDFS235010,LEC,Survey in Child and Family Services,NEWRK,3 Hrs,TR,12:30PM - 1:45PM,Aug 31 - Dec 10,"Wilson,Rebecca L"
HDFS235080,LEC,Survey in Child and Family Services,NEWRK,3 Hrs,TR,12:30PM - 1:45PM,Aug 31 - Dec 10,"Wilson,Rebecca L"
HDFS266000,IND,SPECIAL PROBLEM,NEWRK,1-12 Hrs,ASYN,12:00AM - 12:00AM,Aug 31 - Dec 10,Staff
HDFS270010,LEC,Families and Developmental Disabilities,NEWRK,3 Hrs,TR,12:30PM - 1:45PM,Aug 31 - Dec 10,"Lewis,Susan Marie"
HDFS270194,LEC,Families and Developmental Disabilities,NEWRK,3 Hrs,ASYN,,Aug 31 - Dec 10,"Johnson,Bridgette G"
HDFS316070,LEC,Learning and Development in HRA,NEWRK,3 Hrs,TBD,,Aug 31 - Dec 10,"Toole,Ruth A"
HDFS318010,LEC,Introduction to Social Work Education and Services,NEWRK,3 Hrs,TR,3:30PM - 4:45PM,Aug 31 - Dec 10,"Wilson,Rebecca L"
HDFS328011,LEC,Introduction to the Research Process,NEWRK,3 Hrs,MWF,9:05AM - 9:55AM,Aug 31 - Dec 10,"Farmer,Heather Rochelle"
HDFS329010,LEC,Adolescent Development,NEWRK,3 Hrs,T,3:30PM - 6:15PM,Aug 31 - Dec 10,"Gordon,Mellissa Sasha Marie"
HDFS330010,LEC,Mentor & Helping Relationships,NEWRK,3 Hrs,TR,2:00PM - 3:15PM,Aug 31 - Dec 10,"Carey,Roderick LaMar"
HDFS330011,LEC,Mentor & Helping Relationships,NEWRK,3 Hrs,MW,11:15AM - 12:05PM,Aug 31 - Dec 10,"Riera,Kate Ciscelia"
HDFS330011,LEC,Mentor & Helping Relationships,NEWRK,3 Hrs,MW ,11:15AM - 12:05PM ,Aug 31 - Dec 10 ,"Riera,Kate Ciscelia"
HDFS332010,LEC,Counseling Theories,NEWRK,3 Hrs,M ,10:10AM - 11:00AM ,Aug 31 - Dec 10 ,"Ferrari,Michael"
HDFS332011,LEC,Counseling Theories,NEWRK,3 Hrs,M ,9:05AM - 9:55AM ,Aug 31 - Dec 10 ,"Ferrari,Michael"
HDFS333010,LEC,Development of Human Relationships,NEWRK,3 Hrs,T,5:00PM - 8:00PM,Aug 31 - Dec 10,"Humphrey,Debora Layne"
HDFS333080,LEC,Development of Human Relationships,NEWRK,3 Hrs,T,5:00PM - 8:00PM,Aug 31 - Dec 10,"Humphrey,Debora Layne"
HDFS334010,LEC,Experiential Education,NEWRK,3 Hrs,W,8:40AM - 9:55AM,Aug 31 - Dec 10,"Dolan,Danielle Troise"
HDFS339010,LEC,Adult Development and Aging,NEWRK,3 Hrs,M ,12:20PM - 1:10PM ,Aug 31 - Dec 10 ,"Ferrari,Michael"
HDFS339011,LEC,Adult Development and Aging,NEWRK,3 Hrs,MWF,12:20PM - 1:10PM,Aug 31 - Dec 10,"Farmer,Heather Rochelle"
