Class ID,Class Type,Class Title,Campus,Credits,Days,Time,Date,Instructor
ART180195,LEC,Digital Photography for Non-Majors,NEWRK,3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,"Cox,Jonathan Andrew"
ARTC185010,LEC,Color Mixing and Matching,NEWRK,3 Hrs,TWRF,10:00AM - 1:00PM,Jan 3 - Feb 4,"Baade,Brian Holden"
ARTH151010,LEC,"Myth, Religion and Art",NEWRK,3 Hrs,MTWRF,2:00PM - 3:45PM,Jan 3 - Feb 4,"Shartrand,Emily Rachel"
ARTH166000,IND,Special Problem,NEWRK,1-3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,Staff
ARTH166000,IND,Special Problem,NEWRK,1-3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,Staff
ARTH175010,LEC,Hipsters in Headdresses: Native American Art in Popular Culture,NEWRK,3 Hrs,ASYN,,Jan 3 - Feb 4,"Colon,Zoe Amanda"
ARTH236010,LEC,Arts of the Islamic World,NEWRK,3 Hrs,MTWRF,12:00PM - 1:45PM,Jan 3 - Feb 4,"Shartrand,Emily Rachel"
ARTH249070,LEC,Art and Architecture in Context,NEWRK,3 Hrs,TBD,12:00AM - 12:00AM,Jan 3 - Feb 4,"Bell,James"
ARTH266000,IND,SPECIAL PROBLEM,NEWRK,1-3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,Staff
ARTH366000,IND,Independent Study,NEWRK,1-3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,Staff
ARTH464000,IND,Internship in Art History,NEWRK,3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,Staff
ARTH466000,IND,Independent Study,NEWRK,1-3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,Staff
BHAN120061L,LAB,Physical Education: ICE SKATING I,NEWRK,1 Hrs,,Canceled,,
BHAN130010,LEC,Health Topics: HEALTH & VIRTUES,NEWRK,1 Hrs,MW,10:00AM - 11:45AM,Jan 3 - Feb 4,"Groth,John Warren"
BHAN130011,LEC,Health Topics: PERSONAL RELATIONSHIPS,NEWRK,1 Hrs,MW,2:00PM - 3:45PM,Jan 3 - Feb 4,"Groth,John Warren"
BHAN130012,LEC,Health Topics: DEATH AND DYING,NEWRK,1 Hrs,MW,12:00PM - 1:45PM,Jan 3 - Feb 4,"Groth,John Warren"
BHAN155011,LEC,Personal Health Management: An Approach for a Lifetime,NEWRK,3 Hrs,MTWRF,10:00AM - 11:45AM,Jan 3 - Feb 4,"Hayman,John T"
BHAN236073,LEC,Health and Physical Activity Abroad,NEWRK,3 Hrs,,Canceled,,
BHAN263010L,LAB,Health Behavior Science Practicum,NEWRK,1-3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,"Lodyga,Marc Gregory"
BHAN266000,IND,Special Problem,NEWRK,1-3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,Staff
BHAN311010,LEC,Issues in Health Behavior Science,NEWRK,3 Hrs,,Canceled,,
BHAN322073,LEC,International Community Health,NEWRK,3 Hrs,,Canceled,,
BHAN342010,LEC,Introduction to Adapted Physical Activity,NEWRK,3 Hrs,MTWRF,10:00AM - 11:45AM,Jan 3 - Feb 4,"Obrusnikova,Iva"
BHAN366000,IND,Independent Study,NEWRK,1-6 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,Staff
BHAN368000,IND,Junior Special Topics,NEWRK,1-4 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,Staff
BHAN403010L,LAB,Practicum in Adapted Physical Activity,NEWRK,1-3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,"Obrusnikova,Iva"
BHAN460010L,LAB,Coaching Performance Practicum,NEWRK,3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,"Hayman,John T"
BHAN466000,IND,Independent Study,NEWRK,1-6 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,Staff
BHAN666000,IND,Special Problem,NEWRK,1-6 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,Staff
BISC103010,LEC,Principles of Biology,NEWRK,3 Hrs,TR,5:00PM - 8:45PM,Jan 3 - Feb 4,"Fomin,Victor Petrovich"
BISC107070,LEC,Elementary Evolutionary Ecology,NEWRK,3 Hrs,TBD,12:00AM - 12:00AM,Jan 3 - Feb 4,"Bartley,John A"
