Class ID,Class Type,Class Title,Campus,Credits,Days,Time,Date,Instructor,PreReqs
CGSC170010,LEC,Introduction to Cognitive Science,NEWRK,3 Hrs,MW,3:35PM - 4:50PM,Feb 7 - May 17,"Legault,Jennifer",{}
CGSC170011,LEC,Introduction to Cognitive Science,NEWRK,3 Hrs,MWF,2:30PM - 3:20PM,Feb 7 - May 17,Staff,{}
CGSC202001,LEC,"Genes, Bones and Human Evolution",NEWRK,3 Hrs,TR,9:30AM - 10:45AM,Feb 7 - May 17,"Rosenberg,Karen",{}
CGSC266000,IND,Special Problem,NEWRK,1-3 Hrs,ASYN,12:00AM - 12:00AM,Feb 7 - May 17,Staff,{}
CGSC330080,LEC,Philosophy of Mind,NEWRK,3 Hrs,MWF,10:10AM - 11:00AM,Feb 7 - May 17,"Pust,Joel E",{}
CGSC360010,LEC,Aural Rehabilitation,NEWRK,2 Hrs,W,5:00PM - 7:00PM,Feb 7 - May 17,"Riley,Kathleen Joan",{'required': {'CGSC379': 'false'}}
CGSC366000,IND,Independent Study,NEWRK,1-3 Hrs,ASYN,12:00AM - 12:00AM,Feb 7 - May 17,Staff,{}
CGSC376010,LEC,Introduction to Communication Disorders of Adulthood,NEWRK,3 Hrs,TR,12:30PM - 1:45PM,Feb 7 - May 17,"Straitman,Nina Pahl",{'required': {'LING101': 'false'}}
CGSC377010,LEC,Critical Thinking in a Clinical Setting,NEWRK,3 Hrs,TR,9:30AM - 10:45AM,Feb 7 - May 17,"Straitman,Nina Pahl",{'required': {'CGSC376': 'false'}}
CGSC377080,LEC,Critical Thinking in a Clinical Setting,NEWRK,3 Hrs,TR,9:30AM - 10:45AM,Feb 7 - May 17,"Straitman,Nina Pahl",{'required': {'CGSC376': 'false'}}
CGSC378010,LEC,Anatomy and Physiology of Speaking,NEWRK,3 Hrs,TR,2:00PM - 3:15PM,Feb 7 - May 17,"Straitman,Nina Pahl",{'required': {}}
CGSC380010,LEC,Clinical Principles and Procedures in Speech Pathology,NEWRK,3 Hrs,R,5:00PM - 8:00PM,Feb 7 - May 17,"Mineo,Beth A",{'required': {}}
CGSC433010,LEC,Introduction to Acoustic Phonetics,NEWRK,3 Hrs,MW,3:35PM - 4:50PM,Feb 7 - May 17,"Pincus,Nadya A.",{'required': {'LING353': 'false'}}
CGSC433080,LEC,Introduction to Acoustic Phonetics,NEWRK,3 Hrs,MW,3:35PM - 4:50PM,Feb 7 - May 17,"Pincus,Nadya A.",{'required': {'LING353': 'false'}}
